ISP_ASN, prefix, {geolocation}
ATT_AS7018, 204.90.115.0/24, {'204.90.115.50': {'city': 'Dallas', 'state': 'Texas'}, '204.90.115.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 107.225.252.0/22, {'107.225.252.100': {'city': 'New Orleans', 'state': 'Louisiana'}, '107.225.255.100': {'city': 'New Orleans', 'state': 'Louisiana'}}
ATT_AS7018, 216.126.220.0/22, {'216.126.220.100': {'city': 'Huntsville', 'state': 'Tennessee'}, '216.126.223.100': {'city': 'Huntsville', 'state': 'Tennessee'}}
ATT_AS7018, 192.203.134.0/24, {'192.203.134.50': {'city': 'Dallas', 'state': 'Texas'}, '192.203.134.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 192.159.37.0/24, {'192.159.37.50': {'city': 'Waller', 'state': 'Texas'}, '192.159.37.150': {'city': 'New Orleans', 'state': 'Louisiana'}}
ATT_AS7018, 208.103.178.0/24, {'208.103.178.50': {'city': 'Midland', 'state': 'Michigan'}, '208.103.178.150': {'city': 'Midland', 'state': 'Michigan'}}
ATT_AS7018, 137.83.77.0/24, {'137.83.77.50': {'city': 'Bay City', 'state': 'Michigan'}, '137.83.77.150': {'city': 'Bay City', 'state': 'Michigan'}}
ATT_AS7018, 209.33.10.0/24, {'209.33.10.50': {'city': 'Sonora', 'state': 'Texas'}, '209.33.10.150': {'city': 'Sonora', 'state': 'Texas'}}
ATT_AS7018, 107.125.44.0/24, {'107.125.44.50': {'city': 'Chicago', 'state': 'Illinois'}, '107.125.44.150': {'city': 'Chicago', 'state': 'Illinois'}}
ATT_AS7018, 204.145.135.0/24, {'204.145.135.50': {'city': 'Torrance', 'state': 'California'}, '204.145.135.150': {'city': 'Torrance', 'state': 'California'}}
ATT_AS7018, 209.33.11.0/24, {'209.33.11.50': {'city': 'Junction', 'state': 'Texas'}, '209.33.11.150': {'city': 'Junction', 'state': 'Texas'}}
ATT_AS7018, 192.86.32.0/24, {'192.86.32.50': {'city': 'Dallas', 'state': 'Texas'}, '192.86.32.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 198.81.193.0/24, {'198.81.193.50': {'city': 'Dallas', 'state': 'Texas'}, '198.81.193.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 148.131.255.0/24, {'148.131.255.50': {'city': 'New York City', 'state': 'New York'}, '148.131.255.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 107.125.50.0/24, {'107.125.50.50': {'city': 'Chicago', 'state': 'Illinois'}, '107.125.50.150': {'city': 'Chicago', 'state': 'Illinois'}}
ATT_AS7018, 192.86.33.0/24, {'192.86.33.50': {'city': 'Dallas', 'state': 'Texas'}, '192.86.33.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 47.209.61.0/24, {'47.209.61.50': {'city': 'Foresthill', 'state': 'California'}, '47.209.61.150': {'city': 'Foresthill', 'state': 'California'}}
ATT_AS7018, 107.225.10.0/24, {'107.225.10.50': {'city': 'Philadelphia', 'state': 'Pennsylvania'}, '107.225.10.150': {'city': 'Philadelphia', 'state': 'Pennsylvania'}}
ATT_AS7018, 204.238.234.0/24, {'204.238.234.50': {'city': 'New Orleans', 'state': 'Louisiana'}, '204.238.234.150': {'city': 'New Orleans', 'state': 'Louisiana'}}
ATT_AS7018, 204.152.158.0/24, {'204.152.158.50': {'city': 'Downers Grove', 'state': 'Illinois'}, '204.152.158.150': {'city': 'Downers Grove', 'state': 'Illinois'}}
ATT_AS7018, 24.32.207.0/24, {'24.32.207.50': {'city': 'Dallas', 'state': 'Texas'}, '24.32.207.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 47.209.60.0/24, {'47.209.60.50': {'city': 'Foresthill', 'state': 'California'}, '47.209.60.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
ATT_AS7018, 159.157.236.0/23, {'159.157.236.100': {'city': 'New Orleans', 'state': 'Louisiana'}, '159.157.237.100': {'city': 'New Orleans', 'state': 'Louisiana'}}
ATT_AS7018, 147.160.166.0/24, {'147.160.166.50': {'city': 'Midland', 'state': 'Michigan'}, '147.160.166.150': {'city': 'Midland', 'state': 'Michigan'}}
ATT_AS7018, 164.168.2.0/23, {'164.168.2.100': {'city': 'New Orleans', 'state': 'Louisiana'}, '164.168.3.100': {'city': 'New Orleans', 'state': 'Louisiana'}}
ATT_AS7018, 122.98.220.0/22, {'122.98.220.100': {'city': 'Dod Ballāpur', 'state': 'Karnataka'}, '122.98.223.100': {'city': 'Dod Ballāpur', 'state': 'Karnataka'}}
ATT_AS7018, 66.192.224.0/24, {'66.192.224.50': {'city': 'Memphis', 'state': 'Tennessee'}, '66.192.224.150': {'city': 'Memphis', 'state': 'Tennessee'}}
ATT_AS7018, 107.225.251.0/24, {'107.225.251.50': {'city': 'Chicago', 'state': 'Illinois'}, '107.225.251.150': {'city': 'Chicago', 'state': 'Illinois'}}
ATT_AS7018, 65.204.150.0/24, {'65.204.150.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '65.204.150.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
ATT_AS7018, 198.246.160.0/21, {'198.246.160.100': {'city': 'Galveston', 'state': 'Texas'}, '198.246.163.100': {'city': 'Dallas', 'state': 'Texas'}, '198.246.166.100': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI-AM_AS1970, 129.207.0.0/16, {'129.207.0.100': {'city': 'Prairie View', 'state': 'Texas'}, '129.207.120.100': {'city': 'Prairie View', 'state': 'Texas'}, '129.207.250.100': {'city': 'Prairie View', 'state': 'Texas'}}
TEXAS-UNI-AM_AS1970, 192.195.87.0/24, {'192.195.87.50': {'city': 'College Station', 'state': 'Texas'}, '192.195.87.150': {'city': 'College Station', 'state': 'Texas'}}
TEXAS-UNI-AM_AS1970, 98.159.48.0/20, {'98.159.48.100': {'city': 'Houston', 'state': 'Texas'}, '98.159.54.100': {'city': 'Houston', 'state': 'Texas'}, '98.159.60.100': {'city': 'Houston', 'state': 'Texas'}}
TEXAS-UNI-AM_AS1970, 173.224.80.0/20, {'173.224.80.100': {'city': 'Laredo', 'state': 'Texas'}, '173.224.86.100': {'city': 'Laredo', 'state': 'Texas'}, '173.224.92.100': {'city': 'Laredo', 'state': 'Texas'}}
TEXAS-UNI-AM_AS1970, 173.255.32.0/20, {'173.255.32.100': {'city': 'Stephenville', 'state': 'Texas'}, '173.255.38.100': {'city': 'Stephenville', 'state': 'Texas'}, '173.255.44.100': {'city': 'Stephenville', 'state': 'Texas'}}
TEXAS-UNI-AM_AS1970, 184.174.192.0/18, {'184.174.192.100': {'city': 'Galveston', 'state': 'Texas'}, '184.174.222.100': {'city': 'Galveston', 'state': 'Texas'}, '184.174.252.100': {'city': 'Galveston', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.64.0/24, {'198.215.64.50': {'city': 'Dallas', 'state': 'Texas'}, '198.215.64.150': {'city': 'Dallas', 'state': 'Texas'}}
SANTA-ROSA_AS32391, 104.156.7.0/24, {'104.156.7.50': {'city': 'Haskell', 'state': 'Texas'}, '104.156.7.150': {'city': 'Haskell', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.64.0/24, {'198.215.64.50': {'city': 'Dallas', 'state': 'Texas'}, '198.215.64.150': {'city': 'Dallas', 'state': 'Texas'}}
CENTURYLINK_AS209, 151.116.186.0/24, {'151.116.186.50': {'city': 'Denver', 'state': 'Colorado'}, '151.116.186.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 24.32.134.0/24, {'24.32.134.50': {'city': 'Houston', 'state': 'Texas'}, '24.32.134.150': {'city': 'Houston', 'state': 'Texas'}}
CENTURYLINK_AS209, 184.159.216.0/24, {'184.159.216.50': {'city': 'Portland', 'state': 'Oregon'}, '184.159.216.150': {'city': 'Portland', 'state': 'Oregon'}}
CENTURYLINK_AS209, 96.44.30.0/24, {'96.44.30.50': {'city': 'Mesa', 'state': 'Arizona'}, '96.44.30.150': {'city': 'Denver', 'state': 'Colorado'}}
CENTURYLINK_AS209, 64.91.127.0/24, {'64.91.127.50': {'city': 'Depoe Bay', 'state': 'Oregon'}, '64.91.127.150': {'city': 'Depoe Bay', 'state': 'Oregon'}}
CENTURYLINK_AS209, 66.243.192.0/21, {'66.243.192.100': {'city': 'Alamosa', 'state': 'Colorado'}, '66.243.195.100': {'city': 'Crestone', 'state': 'Colorado'}, '66.243.198.100': {'city': 'Crestone', 'state': 'Colorado'}}
CENTURYLINK_AS209, 207.30.52.0/24, {'207.30.52.50': {'city': 'Celebration', 'state': 'Florida'}, '207.30.52.150': {'city': 'Celebration', 'state': 'Florida'}}
CENTURYLINK_AS209, 76.6.56.0/22, {'76.6.56.100': {'city': 'New York City', 'state': 'New York'}, '76.6.59.100': {'city': 'New York City', 'state': 'New York'}}
CENTURYLINK_AS209, 151.116.188.0/24, {'151.116.188.50': {'city': 'Denver', 'state': 'Colorado'}, '151.116.188.150': {'city': 'Denver', 'state': 'Colorado'}}
CENTURYLINK_AS209, 67.14.0.0/17, {'67.14.0.100': {'city': 'Los Angeles', 'state': 'California'}, '67.14.60.100': {'city': 'Monroe', 'state': 'Louisiana'}, '67.14.120.100': {'city': 'Washington', 'state': 'Washington, D.C.'}}
CENTURYLINK_AS209, 75.171.68.0/24, {'75.171.68.50': {'city': 'Atlantic City', 'state': 'New Jersey'}, '75.171.68.150': {'city': 'Atlantic City', 'state': 'New Jersey'}}
CENTURYLINK_AS209, 204.138.26.0/24, {'204.138.26.50': {'city': 'Runaway Bay', 'state': 'Texas'}, '204.138.26.150': {'city': 'Runaway Bay', 'state': 'Texas'}}
CENTURYLINK_AS209, 63.156.135.0/24, {'63.156.135.50': {'city': 'Albuquerque', 'state': 'New Mexico'}, '63.156.135.150': {'city': 'Albuquerque', 'state': 'New Mexico'}}
CENTURYLINK_AS209, 151.116.193.0/24, {'151.116.193.50': {'city': 'Denver', 'state': 'Colorado'}, '151.116.193.150': {'city': 'Denver', 'state': 'Colorado'}}
CENTURYLINK_AS209, 137.107.64.0/24, {'137.107.64.50': {'city': 'Denver', 'state': 'Colorado'}, '137.107.64.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 65.116.218.0/24, {'65.116.218.50': {'city': 'Chicago', 'state': 'Illinois'}, '65.116.218.150': {'city': 'Chicago', 'state': 'Illinois'}}
CENTURYLINK_AS209, 75.171.73.0/24, {'75.171.73.50': {'city': 'Atlantic City', 'state': 'New Jersey'}, '75.171.73.150': {'city': 'Atlantic City', 'state': 'New Jersey'}}
CENTURYLINK_AS209, 24.206.197.0/24, {'24.206.197.50': {'city': 'Junction', 'state': 'Texas'}, '24.206.197.150': {'city': 'Junction', 'state': 'Texas'}}
CENTURYLINK_AS209, 216.160.156.0/23, {'216.160.156.100': {'city': 'Denver', 'state': 'Colorado'}, '216.160.157.100': {'city': 'Denver', 'state': 'Colorado'}}
FRONTIER_AS5650, 173.59.165.0/24, {'173.59.165.50': {'city': 'Junction', 'state': 'Texas'}, '173.59.165.150': {'city': 'Bangs', 'state': 'Texas'}}
FRONTIER_AS5650, 71.97.40.0/24, {'71.97.40.50': {'city': 'Flower Mound', 'state': 'Texas'}, '71.97.40.150': {'city': 'Flower Mound', 'state': 'Texas'}}
FRONTIER_AS5650, 47.188.244.0/22, {'47.188.244.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.188.247.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.8.0/24, {'66.13.8.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.13.8.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 71.169.207.0/24, {'71.169.207.50': {'city': 'Ashburn', 'state': 'Virginia'}, '71.169.207.150': {'city': 'Ashburn', 'state': 'Virginia'}}
FRONTIER_AS5650, 47.189.80.0/22, {'47.189.80.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.189.83.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 47.183.144.0/20, {'47.183.144.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.150.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.156.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.84.0/24, {'66.13.84.50': {'city': 'Dallas', 'state': 'Texas'}, '66.13.84.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.207.0/24, {'66.12.207.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.207.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.13.66.0/24, {'66.13.66.50': {'city': 'Bryan', 'state': 'Texas'}, '66.13.66.150': {'city': 'Bryan', 'state': 'Texas'}}
FRONTIER_AS5650, 66.15.53.0/24, {'66.15.53.50': {'city': 'Dallas', 'state': 'Texas'}, '66.15.53.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.151.0/24, {'66.14.151.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.14.151.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.13.147.0/24, {'66.13.147.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.147.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.12.179.0/24, {'66.12.179.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.179.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 74.43.218.0/24, {'74.43.218.50': {'city': 'Rochester', 'state': 'New York'}, '74.43.218.150': {'city': 'Rochester', 'state': 'New York'}}
FRONTIER_AS5650, 47.183.96.0/21, {'47.183.96.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.99.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.102.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.123.0/24, {'66.13.123.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.13.123.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.13.154.0/24, {'66.13.154.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.154.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 96.226.223.0/24, {'96.226.223.50': {'city': 'Big Lake', 'state': 'Texas'}, '96.226.223.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 71.169.228.0/24, {'71.169.228.50': {'city': 'Ashburn', 'state': 'Virginia'}, '71.169.228.150': {'city': 'Ashburn', 'state': 'Virginia'}}
FRONTIER_AS5650, 71.116.12.0/24, {'71.116.12.50': {'city': 'Brady', 'state': 'Texas'}, '71.116.12.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.20.0/24, {'66.14.20.50': {'city': 'Dallas', 'state': 'Texas'}, '66.14.20.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.143.0/24, {'66.13.143.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.143.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 47.183.108.0/24, {'47.183.108.50': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.108.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.103.0/24, {'66.12.103.50': {'city': 'Manhattan', 'state': 'New York'}, '66.12.103.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 74.43.216.0/23, {'74.43.216.100': {'city': 'Rochester', 'state': 'New York'}, '74.43.217.100': {'city': 'Rochester', 'state': 'New York'}}
FRONTIER_AS5650, 66.13.175.0/24, {'66.13.175.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.175.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.14.92.0/24, {'66.14.92.50': {'city': 'Manhattan', 'state': 'New York'}, '66.14.92.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 96.226.148.0/24, {'96.226.148.50': {'city': 'San Angelo', 'state': 'Texas'}, '96.226.148.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.73.0/24, {'66.12.73.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.73.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 208.76.188.0/24, {'208.76.188.50': {'city': 'Llano', 'state': 'Texas'}, '208.76.188.150': {'city': 'Llano', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.149.0/24, {'66.14.149.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.14.149.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.12.242.0/24, {'66.12.242.50': {'city': 'Dallas', 'state': 'Texas'}, '66.12.242.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 172.108.99.0/24, {'172.108.99.50': {'city': 'San Angelo', 'state': 'Texas'}, '172.108.99.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 173.59.164.0/24, {'173.59.164.50': {'city': 'San Angelo', 'state': 'Texas'}, '173.59.164.150': {'city': 'Junction', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.12.0/24, {'66.12.12.50': {'city': 'Manhattan', 'state': 'New York'}, '66.12.12.150': {'city': 'Manhattan', 'state': 'New York'}}
