ISP_ASN, prefix, {geolocation}
ATT_AS7018, 206.19.231.0/24, {'206.19.231.50': {'city': 'Dallas', 'state': 'Texas'}, '206.19.231.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 199.107.58.0/24, {'199.107.58.50': {'city': 'Los Angeles', 'state': 'California'}, '199.107.58.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 157.234.230.0/24, {'157.234.230.50': {'city': 'Milpitas', 'state': 'California'}, '157.234.230.150': {'city': 'Milpitas', 'state': 'California'}}
ATT_AS7018, 23.165.128.0/24, {'23.165.128.50': {'city': 'Denton', 'state': 'Texas'}, '23.165.128.150': {'city': 'Denton', 'state': 'Texas'}}
ATT_AS7018, 206.18.204.0/22, {'206.18.204.100': {'city': 'Portland', 'state': 'Indiana'}, '206.18.207.100': {'city': 'San Diego', 'state': 'California'}}
ATT_AS7018, 155.94.234.0/24, {'155.94.234.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.234.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 199.5.182.0/24, {'199.5.182.50': {'city': 'Boston', 'state': 'Massachusetts'}, '199.5.182.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 199.85.0.0/24, {'199.85.0.50': {'city': 'Mount Pleasant', 'state': 'Texas'}, '199.85.0.150': {'city': 'Mount Pleasant', 'state': 'Texas'}}
ATT_AS7018, 104.241.14.0/24, {'104.241.14.50': {'city': 'Springfield', 'state': 'Missouri'}, '104.241.14.150': {'city': 'Springfield', 'state': 'Missouri'}}
ATT_AS7018, 107.150.3.0/24, {'107.150.3.50': {'city': 'Los Angeles', 'state': 'California'}, '107.150.3.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 192.40.157.0/24, {'192.40.157.50': {'city': 'Murray', 'state': 'Kentucky'}, '192.40.157.150': {'city': 'Murray', 'state': 'Kentucky'}}
ATT_AS7018, 206.18.244.0/22, {'206.18.244.100': {'city': 'Rochester Hills', 'state': 'Michigan'}, '206.18.247.100': {'city': 'San Diego', 'state': 'California'}}
ATT_AS7018, 170.39.49.0/24, {'170.39.49.50': {'city': 'Fort Worth', 'state': 'Texas'}, '170.39.49.150': {'city': 'Fort Worth', 'state': 'Texas'}}
ATT_AS7018, 206.19.18.0/24, {'206.19.18.50': {'city': 'Oshkosh', 'state': 'Wisconsin'}, '206.19.18.150': {'city': 'Oshkosh', 'state': 'Wisconsin'}}
ATT_AS7018, 206.18.240.0/22, {'206.18.240.100': {'city': 'Richardson', 'state': 'Texas'}, '206.18.243.100': {'city': 'Ann Arbor', 'state': 'Michigan'}}
ATT_AS7018, 166.108.191.0/24, {'166.108.191.50': {'city': 'Sacramento', 'state': 'California'}, '166.108.191.150': {'city': 'Fresno', 'state': 'California'}}
ATT_AS7018, 161.215.179.0/24, {'161.215.179.50': {'city': 'Downers Grove', 'state': 'Illinois'}, '161.215.179.150': {'city': 'Downers Grove', 'state': 'Illinois'}}
ATT_AS7018, 107.166.0.0/17, {'107.166.0.100': {'city': 'Frisco', 'state': 'Texas'}, '107.166.60.100': {'city': 'Washington', 'state': 'Washington, D.C.'}, '107.166.120.100': {'city': 'Lakehurst', 'state': 'New Jersey'}}
ATT_AS7018, 141.193.218.0/23, {'141.193.218.100': {'city': 'Dallas', 'state': 'Texas'}, '141.193.219.100': {'city': 'Richardson', 'state': 'Texas'}}
ATT_AS7018, 206.19.36.0/22, {'206.19.36.100': {'city': 'Solana Beach', 'state': 'California'}, '206.19.39.100': {'city': 'San Diego', 'state': 'California'}}
ATT_AS7018, 206.19.16.0/22, {'206.19.16.100': {'city': 'New York City', 'state': 'New York'}, '206.19.19.100': {'city': 'Alexandria', 'state': 'Virginia'}}
ATT_AS7018, 157.234.0.0/16, {'157.234.0.100': {'city': 'Milpitas', 'state': 'California'}, '157.234.120.100': {'city': 'Sacramento', 'state': 'California'}, '157.234.250.100': {'city': 'Milpitas', 'state': 'California'}}
ATT_AS7018, 167.242.233.0/24, {'167.242.233.50': {'city': 'Rochester', 'state': 'New York'}, '167.242.233.150': {'city': 'Detroit', 'state': 'Michigan'}}
ATT_AS7018, 157.234.220.0/23, {'157.234.220.100': {'city': 'Milpitas', 'state': 'California'}, '157.234.221.100': {'city': 'Milpitas', 'state': 'California'}}
ATT_AS7018, 107.225.244.0/22, {'107.225.244.100': {'city': 'Kansas City', 'state': 'Missouri'}, '107.225.247.100': {'city': 'Redmond', 'state': 'Washington'}}
ATT_AS7018, 157.234.222.0/23, {'157.234.222.100': {'city': 'Milpitas', 'state': 'California'}, '157.234.223.100': {'city': 'Milpitas', 'state': 'California'}}
TEXAS-GIGA-POP_AS22645, 208.76.225.0/24, {'208.76.225.50': {'city': 'Dallas', 'state': 'Texas'}, '208.76.225.150': {'city': 'Dallas', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.66.0/23, {'72.48.66.100': {'city': 'Temple', 'state': 'Texas'}, '72.48.67.100': {'city': 'Temple', 'state': 'Texas'}}
SANTA-ROSA_AS32391, 104.156.3.0/24, {'104.156.3.50': {'city': 'Burkburnett', 'state': 'Texas'}, '104.156.3.150': {'city': 'Burkburnett', 'state': 'Texas'}}
SANTA-ROSA_AS32391, 69.49.222.0/24, {'69.49.222.50': {'city': 'Munday', 'state': 'Texas'}, '69.49.222.150': {'city': 'Vernon', 'state': 'Texas'}}
SANTA-ROSA_AS32391, 38.131.50.0/23, {'38.131.50.100': {'city': 'Washington', 'state': 'Washington, D.C.'}, '38.131.51.100': {'city': 'Washington', 'state': 'Washington, D.C.'}}
SANTA-ROSA_AS32391, 104.156.14.0/24, {'104.156.14.50': {'city': 'Vernon', 'state': 'Texas'}, '104.156.14.150': {'city': 'Childress', 'state': 'Texas'}}
SANTA-ROSA_AS32391, 69.49.220.0/23, {'69.49.220.100': {'city': 'Haskell', 'state': 'Texas'}, '69.49.221.100': {'city': 'Haskell', 'state': 'Texas'}}
