ISP_ASN, prefix, {geolocation}
ATT_AS7018, 206.19.231.0/24, {'206.19.231.50': {'city': None, 'state': None}, '206.19.231.150': {'city': None, 'state': None}}
ATT_AS7018, 199.107.58.0/24, {'199.107.58.50': {'city': 'Washington', 'state': 'District of Columbia'}, '199.107.58.150': {'city': 'Washington', 'state': 'District of Columbia'}}
ATT_AS7018, 157.234.230.0/24, {'157.234.230.50': {'city': None, 'state': None}, '157.234.230.150': {'city': None, 'state': None}}
ATT_AS7018, 23.165.128.0/24, {'23.165.128.50': {'city': 'Denton', 'state': 'Texas'}, '23.165.128.150': {'city': 'Krum', 'state': 'Texas'}}
ATT_AS7018, 206.18.204.0/22, {'206.18.204.100': {'city': None, 'state': None}, '206.18.207.100': {'city': None, 'state': None}}
ATT_AS7018, 155.94.234.0/24, {'155.94.234.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.234.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 199.5.182.0/24, {'199.5.182.50': {'city': None, 'state': None}, '199.5.182.150': {'city': None, 'state': None}}
ATT_AS7018, 199.85.0.0/24, {'199.85.0.50': {'city': 'Pittsburg', 'state': 'Texas'}, '199.85.0.150': {'city': 'Pittsburg', 'state': 'Texas'}}
ATT_AS7018, 104.241.14.0/24, {'104.241.14.50': {'city': 'Cullowhee', 'state': 'North Carolina'}, '104.241.14.150': {'city': 'Cullowhee', 'state': 'North Carolina'}}
ATT_AS7018, 107.150.3.0/24, {'107.150.3.50': {'city': 'Los Angeles', 'state': 'California'}, '107.150.3.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 192.40.157.0/24, {'192.40.157.50': {'city': 'Murray', 'state': 'Kentucky'}, '192.40.157.150': {'city': 'Murray', 'state': 'Kentucky'}}
ATT_AS7018, 206.18.244.0/22, {'206.18.244.100': {'city': 'San Diego', 'state': 'California'}, '206.18.247.100': {'city': 'San Diego', 'state': 'California'}}
ATT_AS7018, 170.39.49.0/24, {'170.39.49.50': {'city': 'Arlington', 'state': 'Texas'}, '170.39.49.150': {'city': 'Arlington', 'state': 'Texas'}}
ATT_AS7018, 206.19.18.0/24, {'206.19.18.50': {'city': None, 'state': None}, '206.19.18.150': {'city': None, 'state': None}}
ATT_AS7018, 206.18.240.0/22, {'206.18.240.100': {'city': 'San Diego', 'state': 'California'}, '206.18.243.100': {'city': 'San Diego', 'state': 'California'}}
ATT_AS7018, 166.108.191.0/24, {'166.108.191.50': {'city': None, 'state': None}, '166.108.191.150': {'city': None, 'state': None}}
ATT_AS7018, 161.215.179.0/24, {'161.215.179.50': {'city': None, 'state': None}, '161.215.179.150': {'city': None, 'state': None}}
