ISP_ASN, prefix, {geolocation}
ATT_AS7018, 163.123.220.0/24, {'163.123.220.50': {'city': 'Las Vegas', 'state': 'Nevada'}, '163.123.220.150': {'city': 'Las Vegas', 'state': 'Nevada'}}
ATT_AS7018, 137.27.254.0/24, {'137.27.254.50': {'city': 'Riverside', 'state': 'California'}, '137.27.254.150': {'city': 'Riverside', 'state': 'California'}}
ATT_AS7018, 136.175.195.0/24, {'136.175.195.50': {'city': 'Virginia Beach', 'state': 'Virginia'}, '136.175.195.150': {'city': 'Virginia Beach', 'state': 'Virginia'}}
ATT_AS7018, 66.115.4.0/22, {'66.115.4.100': {'city': 'Opa-locka', 'state': 'Florida'}, '66.115.7.100': {'city': 'Opa-locka', 'state': 'Florida'}}
ATT_AS7018, 130.51.181.0/24, {'130.51.181.50': {'city': 'Corbin', 'state': 'Kentucky'}, '130.51.181.150': {'city': 'Corbin', 'state': 'Kentucky'}}
ATT_AS7018, 107.225.252.0/22, {'107.225.252.100': {'city': None, 'state': None}, '107.225.255.100': {'city': None, 'state': None}}
ATT_AS7018, 163.123.221.0/24, {'163.123.221.50': {'city': 'Corvallis', 'state': 'Oregon'}, '163.123.221.150': {'city': 'Corvallis', 'state': 'Oregon'}}
ATT_AS7018, 163.123.222.0/24, {'163.123.222.50': {'city': 'Las Vegas', 'state': 'Nevada'}, '163.123.222.150': {'city': 'Las Vegas', 'state': 'Nevada'}}
ATT_AS7018, 163.123.223.0/24, {'163.123.223.50': {'city': 'Eugene', 'state': 'Oregon'}, '163.123.223.150': {'city': 'Eugene', 'state': 'Oregon'}}
ATT_AS7018, 198.245.254.0/24, {'198.245.254.50': {'city': 'Birmingham', 'state': 'Alabama'}, '198.245.254.150': {'city': 'Birmingham', 'state': 'Alabama'}}
ATT_AS7018, 45.42.188.0/24, {'45.42.188.50': {'city': 'Arlington', 'state': 'Virginia'}, '45.42.188.150': {'city': 'Arlington', 'state': 'Virginia'}}
ATT_AS7018, 45.42.191.0/24, {'45.42.191.50': {'city': 'Arlington', 'state': 'Virginia'}, '45.42.191.150': {'city': 'Arlington', 'state': 'Virginia'}}
ATT_AS7018, 172.102.248.0/24, {'172.102.248.50': {'city': 'Ukiah', 'state': 'California'}, '172.102.248.150': {'city': 'Ukiah', 'state': 'California'}}
ATT_AS7018, 167.242.233.0/24, {'167.242.233.50': {'city': None, 'state': None}, '167.242.233.150': {'city': None, 'state': None}}
ATT_AS7018, 216.132.156.0/24, {'216.132.156.50': {'city': 'North Hills', 'state': 'California'}, '216.132.156.150': {'city': 'North Hills', 'state': 'California'}}
ATT_AS7018, 66.115.124.0/24, {'66.115.124.50': {'city': None, 'state': None}, '66.115.124.150': {'city': 'Kismet', 'state': 'Kansas'}}
ATT_AS7018, 136.175.193.0/24, {'136.175.193.50': {'city': 'Virginia Beach', 'state': 'Virginia'}, '136.175.193.150': {'city': 'Virginia Beach', 'state': 'Virginia'}}
ATT_AS7018, 137.27.252.0/24, {'137.27.252.50': {'city': 'Riverside', 'state': 'California'}, '137.27.252.150': {'city': 'Riverside', 'state': 'California'}}
ATT_AS7018, 137.27.253.0/24, {'137.27.253.50': {'city': 'Riverside', 'state': 'California'}, '137.27.253.150': {'city': 'Riverside', 'state': 'California'}}
ATT_AS7018, 136.175.192.0/24, {'136.175.192.50': {'city': 'Virginia Beach', 'state': 'Virginia'}, '136.175.192.150': {'city': 'Virginia Beach', 'state': 'Virginia'}}
ATT_AS7018, 134.43.8.0/24, {'134.43.8.50': {'city': None, 'state': None}, '134.43.8.150': {'city': None, 'state': None}}
ATT_AS7018, 45.42.190.0/24, {'45.42.190.50': {'city': 'Arlington', 'state': 'Virginia'}, '45.42.190.150': {'city': 'Arlington', 'state': 'Virginia'}}
ATT_AS7018, 45.42.189.0/24, {'45.42.189.50': {'city': 'Grand Forks', 'state': 'North Dakota'}, '45.42.189.150': {'city': 'Grand Forks', 'state': 'North Dakota'}}
ATT_AS7018, 209.40.84.0/24, {'209.40.84.50': {'city': 'Berkeley', 'state': 'California'}, '209.40.84.150': {'city': 'Berkeley', 'state': 'California'}}
ATT_AS7018, 136.175.194.0/24, {'136.175.194.50': {'city': 'Virginia Beach', 'state': 'Virginia'}, '136.175.194.150': {'city': 'Virginia Beach', 'state': 'Virginia'}}
ATT_AS7018, 216.190.204.0/22, {'216.190.204.100': {'city': 'Cypress', 'state': 'Texas'}, '216.190.207.100': {'city': 'Cypress', 'state': 'Texas'}}
ATT_AS7018, 64.66.255.0/24, {'64.66.255.50': {'city': 'Elgin', 'state': 'Texas'}, '64.66.255.150': {'city': 'Elgin', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.79.0/24, {'198.215.79.50': {'city': None, 'state': None}, '198.215.79.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.67.0/24, {'198.215.67.50': {'city': None, 'state': None}, '198.215.67.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 207.64.141.0/24, {'207.64.141.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.141.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.78.0/24, {'198.215.78.50': {'city': None, 'state': None}, '198.215.78.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.68.0/24, {'198.215.68.50': {'city': None, 'state': None}, '198.215.68.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.75.0/24, {'198.215.75.50': {'city': None, 'state': None}, '198.215.75.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.72.0/24, {'198.215.72.50': {'city': None, 'state': None}, '198.215.72.150': {'city': None, 'state': None}}
