ISP_ASN, prefix, {geolocation}
ATT_AS7018, 23.226.142.0/24, {'23.226.142.50': {'city': 'Elk Grove Village', 'state': 'Illinois'}, '23.226.142.150': {'city': 'Elk Grove Village', 'state': 'Illinois'}}
ATT_AS7018, 104.223.61.0/24, {'104.223.61.50': {'city': 'Los Angeles', 'state': 'California'}, '104.223.61.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 104.223.75.0/24, {'104.223.75.50': {'city': 'Los Angeles', 'state': 'California'}, '104.223.75.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 199.5.182.0/24, {'199.5.182.50': {'city': 'Boston', 'state': 'Massachusetts'}, '199.5.182.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 156.96.42.0/24, {'156.96.42.50': {'city': 'New York City', 'state': 'New York'}, '156.96.42.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 199.29.214.0/24, {'199.29.214.50': {'city': 'Washington', 'state': 'Washington, D.C.'}, '199.29.214.150': {'city': 'Washington', 'state': 'Washington, D.C.'}}
ATT_AS7018, 167.160.191.0/24, {'167.160.191.50': {'city': 'Los Angeles', 'state': 'California'}, '167.160.191.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 170.37.224.0/24, {'170.37.224.50': {'city': 'New York City', 'state': 'New York'}, '170.37.224.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 66.192.224.0/24, {'66.192.224.50': {'city': 'Memphis', 'state': 'Tennessee'}, '66.192.224.150': {'city': 'Memphis', 'state': 'Tennessee'}}
ATT_AS7018, 209.54.109.0/24, {'209.54.109.50': {'city': None, 'state': None}, '209.54.109.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 67.215.248.0/24, {'67.215.248.50': {'city': 'Los Angeles', 'state': 'California'}, '67.215.248.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 155.94.191.0/24, {'155.94.191.50': {'city': 'New York City', 'state': 'New York'}, '155.94.191.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 155.94.227.0/24, {'155.94.227.50': {'city': 'New York City', 'state': 'New York'}, '155.94.227.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 192.146.217.0/24, {'192.146.217.50': {'city': 'Phoenix', 'state': 'Arizona'}, '192.146.217.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
ATT_AS7018, 107.225.249.0/24, {'107.225.249.50': {'city': 'San Francisco', 'state': 'California'}, '107.225.249.150': {'city': 'San Francisco', 'state': 'California'}}
ATT_AS7018, 162.255.212.0/24, {'162.255.212.50': {'city': 'Mansfield', 'state': 'Massachusetts'}, '162.255.212.150': {'city': 'Mansfield', 'state': 'Massachusetts'}}
ATT_AS7018, 162.255.208.0/24, {'162.255.208.50': {'city': 'Boston', 'state': 'Massachusetts'}, '162.255.208.150': {'city': 'Boston', 'state': 'Massachusetts'}}
ATT_AS7018, 204.44.89.0/24, {'204.44.89.50': {'city': 'New York City', 'state': 'New York'}, '204.44.89.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 204.44.65.0/24, {'204.44.65.50': {'city': 'New York City', 'state': 'New York'}, '204.44.65.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 199.29.215.0/24, {'199.29.215.50': {'city': 'Washington', 'state': 'Washington, D.C.'}, '199.29.215.150': {'city': 'Washington', 'state': 'Washington, D.C.'}}
ATT_AS7018, 156.96.41.0/24, {'156.96.41.50': {'city': 'New York City', 'state': 'New York'}, '156.96.41.150': {'city': 'Frisco', 'state': 'Texas'}}
ATT_AS7018, 155.94.190.0/24, {'155.94.190.50': {'city': 'New York City', 'state': 'New York'}, '155.94.190.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 155.94.152.0/24, {'155.94.152.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.152.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 155.94.234.0/24, {'155.94.234.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.234.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 192.161.170.0/24, {'192.161.170.50': {'city': 'New York City', 'state': 'New York'}, '192.161.170.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 155.94.225.0/24, {'155.94.225.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.225.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 107.150.3.0/24, {'107.150.3.50': {'city': 'Los Angeles', 'state': 'California'}, '107.150.3.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 47.209.60.0/24, {'47.209.60.50': {'city': 'Foresthill', 'state': 'California'}, '47.209.60.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
ATT_AS7018, 66.154.119.0/24, {'66.154.119.50': {'city': 'Los Angeles', 'state': 'California'}, '66.154.119.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 104.223.24.0/24, {'104.223.24.50': {'city': None, 'state': None}, '104.223.24.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 104.223.64.0/23, {'104.223.64.100': {'city': 'Los Angeles', 'state': 'California'}, '104.223.65.100': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 155.94.226.0/24, {'155.94.226.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.226.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 155.94.221.0/24, {'155.94.221.50': {'city': 'Miami', 'state': 'Florida'}, '155.94.221.150': {'city': 'Miami', 'state': 'Florida'}}
ATT_AS7018, 24.32.207.0/24, {'24.32.207.50': {'city': 'Dallas', 'state': 'Texas'}, '24.32.207.150': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 155.94.187.0/24, {'155.94.187.50': {'city': 'New York City', 'state': 'New York'}, '155.94.187.150': {'city': 'New York City', 'state': 'New York'}}
