ISP_ASN, prefix, {geolocation}
ATT_AS7018, 107.166.0.0/17, {'107.166.0.100': {'city': None, 'state': None}, '107.166.60.100': {'city': None, 'state': None}, '107.166.120.100': {'city': None, 'state': None}}
ATT_AS7018, 107.166.128.0/17, {'107.166.128.100': {'city': 'East Stroudsburg', 'state': 'Pennsylvania'}, '107.166.188.100': {'city': None, 'state': None}, '107.166.248.100': {'city': 'Elgin', 'state': 'Illinois'}}
ATT_AS7018, 198.179.209.0/24, {'198.179.209.50': {'city': None, 'state': None}, '198.179.209.150': {'city': None, 'state': None}}
ATT_AS7018, 198.245.254.0/24, {'198.245.254.50': {'city': 'Birmingham', 'state': 'Alabama'}, '198.245.254.150': {'city': 'Birmingham', 'state': 'Alabama'}}
ATT_AS7018, 170.37.224.0/24, {'170.37.224.50': {'city': None, 'state': None}, '170.37.224.150': {'city': None, 'state': None}}
ATT_AS7018, 199.178.62.0/24, {'199.178.62.50': {'city': 'Elk Grove Village', 'state': 'Illinois'}, '199.178.62.150': {'city': 'Elk Grove Village', 'state': 'Illinois'}}
ATT_AS7018, 192.56.41.0/24, {'192.56.41.50': {'city': None, 'state': None}, '192.56.41.150': {'city': None, 'state': None}}
ATT_AS7018, 216.227.40.0/21, {'216.227.40.100': {'city': 'Columbus Grove', 'state': 'Ohio'}, '216.227.43.100': {'city': 'Columbus Grove', 'state': 'Ohio'}, '216.227.46.100': {'city': 'Columbus Grove', 'state': 'Ohio'}}
ATT_AS7018, 205.233.75.0/24, {'205.233.75.50': {'city': None, 'state': None}, '205.233.75.150': {'city': None, 'state': None}}
ATT_AS7018, 74.209.56.0/22, {'74.209.56.100': {'city': 'Germantown', 'state': 'Ohio'}, '74.209.59.100': {'city': 'Germantown', 'state': 'Ohio'}}
ATT_AS7018, 216.227.48.0/21, {'216.227.48.100': {'city': 'Pandora', 'state': 'Ohio'}, '216.227.51.100': {'city': 'Leipsic', 'state': 'Ohio'}, '216.227.54.100': {'city': 'Leipsic', 'state': 'Ohio'}}
ATT_AS7018, 74.209.60.0/23, {'74.209.60.100': {'city': 'Germantown', 'state': 'Ohio'}, '74.209.61.100': {'city': 'Germantown', 'state': 'Ohio'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.79.0/24, {'198.215.79.50': {'city': None, 'state': None}, '198.215.79.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.67.0/24, {'198.215.67.50': {'city': None, 'state': None}, '198.215.67.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 207.64.141.0/24, {'207.64.141.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.141.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.78.0/24, {'198.215.78.50': {'city': None, 'state': None}, '198.215.78.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.68.0/24, {'198.215.68.50': {'city': None, 'state': None}, '198.215.68.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.75.0/24, {'198.215.75.50': {'city': None, 'state': None}, '198.215.75.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.72.0/24, {'198.215.72.50': {'city': None, 'state': None}, '198.215.72.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.64.0/20, {'198.215.64.100': {'city': None, 'state': None}, '198.215.70.100': {'city': None, 'state': None}, '198.215.76.100': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.73.0/24, {'198.215.73.50': {'city': None, 'state': None}, '198.215.73.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.69.0/24, {'198.215.69.50': {'city': None, 'state': None}, '198.215.69.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 207.64.140.0/24, {'207.64.140.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.140.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.65.0/24, {'198.215.65.50': {'city': None, 'state': None}, '198.215.65.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 207.64.140.0/22, {'207.64.140.100': {'city': 'Dallas', 'state': 'Texas'}, '207.64.143.100': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.70.0/24, {'198.215.70.50': {'city': None, 'state': None}, '198.215.70.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.66.0/24, {'198.215.66.50': {'city': None, 'state': None}, '198.215.66.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.71.0/24, {'198.215.71.50': {'city': None, 'state': None}, '198.215.71.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.77.0/24, {'198.215.77.50': {'city': None, 'state': None}, '198.215.77.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 207.64.143.0/24, {'207.64.143.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.143.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.76.0/24, {'198.215.76.50': {'city': None, 'state': None}, '198.215.76.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.74.0/24, {'198.215.74.50': {'city': None, 'state': None}, '198.215.74.150': {'city': None, 'state': None}}
TEXAS-UNI-AUSTIN_AS3354, 207.64.142.0/24, {'207.64.142.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.142.150': {'city': 'Dallas', 'state': 'Texas'}}
SANTA-ROSA_AS32391, 104.156.14.0/23, {'104.156.14.100': {'city': 'Knox City', 'state': 'Texas'}, '104.156.15.100': {'city': 'Childress', 'state': 'Texas'}}
SANTA-ROSA_AS32391, 74.120.134.0/24, {'74.120.134.50': {'city': 'Wichita Falls', 'state': 'Texas'}, '74.120.134.150': {'city': 'Wichita Falls', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.79.0/24, {'198.215.79.50': {'city': None, 'state': None}, '198.215.79.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.67.0/24, {'198.215.67.50': {'city': None, 'state': None}, '198.215.67.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.141.0/24, {'207.64.141.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.141.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.78.0/24, {'198.215.78.50': {'city': None, 'state': None}, '198.215.78.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.68.0/24, {'198.215.68.50': {'city': None, 'state': None}, '198.215.68.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.75.0/24, {'198.215.75.50': {'city': None, 'state': None}, '198.215.75.150': {'city': None, 'state': None}}
